PrmA,1000,890,alkane,aerobic
PrmC,800,630,alkane,aerobic
TmoB_BmoB,180,140,aromatic,aerobic
TmoA_BmoA,900,810,aromatic,aerobic
TmoE,500,350,aromatic,aerobic
TomA1,660,600,aromatic,aerobic
TomA3,1040,960,aromatic,aerobic
AssA,1160,800,alkane,anaerobic
BssA,1600,1150,aromatic,anaerobic
NmsA,1550,1200,aromatic,anaerobic
MAH_beta,220,170,aromatic,aerobic
PAH_NdoC,200,180,aromatic,aerobic
EbdA,1700,900,aromatic,anaerobic
CmdA,1000,620,aromatic,anaerobic
ahyA,710,490,alkane,anaerobic
AlkB,550,530,alkane,aerobic
dszC,560,400,aromatic,aerobic
pBmoC,300,190,alkane,aerobic
pBmoA,400,270,alkane,aerobic
pBmoB,350,250,alkane,aerobic
sBmoZ,250,150,alkane,aerobic
AbcA_1,1200,600,aromatic,anaerobic
AbcA_2,1000,900,aromatic,anaerobic
K27540,900,670,aromatic,anaerobic
sBmoX,1050,850,alkane,aerobic
sBmoY,800,500,alkane,aerobic
CYP153,590,480,alkane,aerobic
MAH_alpha,630,470,aromatic,aerobic
NdoB,630,370,aromatic,aerobic
non_NdoB_type,430,400,aromatic,aerobic
almA_GroupI,900,830,alkane,aerobic
almA_GroupIII,900,830,alkane,aerobic
LadA_alpha,590,500,alkane,aerobic
LadA_beta,740,670,alkane,aerobic
LadB,500,350,alkane,aerobic
DmpO,180,130,aromatic,aerobic
TomA4,200,150,aromatic,aerobic
